id;dart;x;y;z
322;0x600001e619c0;-0.226467;0.216506;-0.845185
323;0x600001e583c0;-0.707107;-0.25;-0.707107
324;0x600001e6bdc0;0.194114;0;-0.724444
325;0x600001e605c0;-0.097895;0;-0.743584
326;0x600001e31bc0;0.756797;0.125;0.202783
327;0x600001e77bc0;0.608762;-0.25;-0.793353
328;0x600001e535c0;-1.08667;0.216506;0.291171
329;0x600001e645c0;-0.5625;0.216506;-0.974279
330;0x600001e60dc0;-0.146842;-0.216506;-1.11538
331;0x600001e7ddc0;1.11538;0.216506;-0.146842
332;0x600001e33f00;1.25;0;0
333;0x600001e607c0;-0.102267;-0.125;-0.776791
334;0x600001e5b3c0;-0.866025;-0.25;-0.5
335;0x600001e63bc0;-0.382684;-0.25;-0.92388
336;0x600001e6ffc0;-0.130526;0.25;-0.991445
337;0x600001e3d5c0;0.595015;-0;0.456571
338;0x600001e60f80;-0.163158;0;-1.23931
339;0x600001e609c0;-0.114211;-0.216506;-0.867514
340;0x600001e7ef80;1.23931;0;-0.163158
341;0x600001e6f7c0;0;-0.125;-1.21651
342;0x600001e6e3c0;0;0.125;-1.21651
343;0x600001e5ddc0;-0.724444;0;-0.194114
344;0x600001e63fc0;-0.465537;-0.125;-1.1239
345;0x600001e6f1c0;0;-0.216506;-0.875
346;0x600001e489c0;-0.694184;-0.216506;0.532666
347;0x600001e401c0;-0.226467;-0.216506;0.845185
348;0x600001e577c0;-1.05353;-0.125;0.608253
349;0x600001e6efc0;0;-0.125;-0.783494
350;0x600001e66f80;-0.760952;0;-0.991692
351;0x600001e6edc0;0;0;-0.75
352;0x600001e487c0;-0.621587;-0.125;0.476961
353;0x600001e6e7c0;0;0.25;-1
354;0x600001e5adc0;-0.649519;0;-0.375
355;0x600001e707c0;1.17506;-0.125;-0.314855
356;0x600001e6e5c0;0;0.216506;-1.125
357;0x600001e6f780;0;0;-1.25
358;0x600001e6ddc0;0.146842;-0.216506;-1.11538
359;0x600001e775c0;0.456571;0;-0.595015
360;0x600001e539c0;-0.845185;0.216506;0.226467
361;0x600001e477c0;0.29983;-0.125;0.723854
362;0x600001e6dbc0;0.130526;-0.25;-0.991445
363;0x600001e76780;0.883883;0;-0.883884
364;0x600001e6d9c0;0.11421;-0.216506;-0.867514
365;0x600001e6d7c0;0.102266;-0.125;-0.776791
366;0x600001e685c0;0.5625;0.216506;-0.974279
367;0x600001e4bfc0;-0.740563;-0.125;0.965119
368;0x600001e6d3c0;0.102266;0.125;-0.776791
369;0x600001e32e80;1;0.25;0
370;0x600001e6c1c0;0.226467;-0.216506;-0.845185
371;0x600001e6bfc0;0.202783;-0.125;-0.756797
372;0x600001e4d3c0;-0.5;-0.25;0.866026
373;0x600001e5cfc0;-1.1239;-0.125;-0.465537
374;0x600001e5f9c0;-0.867514;-0.216506;-0.114211
375;0x600001e6b9c0;0.226467;0.216506;-0.845185
376;0x600001e755c0;0.795495;0.216506;-0.795495
377;0x600001e61dc0;-0.194114;0;-0.724444
378;0x600001e3adc0;0.684856;-0.216506;0.892523
379;0x600001e403c0;-0.258819;-0.25;0.965926
380;0x600001e603c0;-0.102267;0.125;-0.776791
381;0x600001e423c0;0;0.125;1.21651
382;0x600001e6b5c0;0.291171;0.216506;-1.08667
383;0x600001e42fc0;0;-0.125;0.783494
384;0x600001e70fc0;0.92388;0.25;-0.382683
385;0x600001e559c0;-0.808395;-0.216506;0.334848
386;0x600001e6adc0;0.430519;-0.216506;-1.03936
387;0x600001e3cbc0;0.965119;0.125;0.740562
388;0x600001e617c0;-0.258819;0.25;-0.965926
389;0x600001e75bc0;0.554014;0.125;-0.554014
390;0x600001e66bc0;-0.608761;-0.25;-0.793353
391;0x600001e743c0;0.621587;0.125;-0.476961
392;0x600001e6b3c0;0.314855;0.125;-1.17506
393;0x600001e615c0;-0.291171;0.216506;-1.08667
394;0x600001e3e7c0;0.866025;0.25;0.5
395;0x600001e53bc0;-0.756797;0.125;0.202783
396;0x600001e6abc0;0.382684;-0.25;-0.923879
397;0x600001e58bc0;-0.965119;0.125;-0.740562
398;0x600001e6a9c0;0.334848;-0.216506;-0.808394
399;0x600001e541c0;-0.845185;-0.216506;0.226467
400;0x600001e7dfc0;0.991445;0.25;-0.130526
401;0x600001e601c0;-0.114211;0.216506;-0.867514
402;0x600001e711c0;0.808395;0.216506;-0.334848
403;0x600001e30bc0;0.923879;-0.25;0.382684
404;0x600001e6a5c0;0.287013;0;-0.69291
405;0x600001e30f80;1.15485;-0;0.478355
406;0x600001e69fc0;0.382684;0.25;-0.923879
407;0x600001e72fc0;0.678525;-0.125;-0.391747
408;0x600001e747c0;0.621587;-0.125;-0.476961
409;0x600001e695c0;0.5625;-0.216506;-0.974279
410;0x600001e69bc0;0.465537;0.125;-1.1239
411;0x600001e3cfc0;0.793353;0.25;0.608761
412;0x600001e76bc0;0.740562;0.125;-0.965119
413;0x600001e5cbc0;-0.92388;-0.25;-0.382683
414;0x600001e591c0;-0.694184;0.216506;-0.532666
415;0x600001e6af80;0.478355;0;-1.15485
416;0x600001e4a1c0;-0.618719;-0.216506;0.618718
417;0x600001e301c0;0.808394;0.216506;0.334848
418;0x600001e50fc0;-0.783494;-0.125;-0
419;0x600001e5d9c0;-0.845185;0.216506;-0.226467
420;0x600001e6a3c0;0.29983;0.125;-0.723854
421;0x600001e689c0;0.4375;0.216506;-0.757772
422;0x600001e76dc0;0.684857;0.216506;-0.892522
423;0x600001e6ebc0;0;0.125;-0.783494
424;0x600001e697c0;0.608253;-0.125;-1.05352
425;0x600001e33680;0.783494;-0.125;-0
426;0x600001e683c0;0.608253;0.125;-1.05352
427;0x600001e449c0;0.11421;-0.216506;0.867514
428;0x600001e639c0;-0.334848;-0.216506;-0.808395
429;0x600001e74fc0;0.965119;-0.125;-0.740562
430;0x600001e733c0;0.866025;-0.25;-0.5
431;0x600001e5b7c0;-1.05352;-0.125;-0.608253
432;0x600001e777c0;0.476961;-0.125;-0.621587
433;0x600001e69780;0.625;0;-1.08253
434;0x600001e731c0;0.757772;-0.216506;-0.4375
435;0x600001e621c0;-0.226467;-0.216506;-0.845185
436;0x600001e7f5c0;1.08667;0.216506;-0.291171
